                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.79102,                0.45423,                 0.9782,                 0.8504,                0.90909,                 0.8988,                0.54066,                 1.5581,                0.67816,                 1.5698,               0.000614,               0.000614,               0.000614
                     72,                0.81975,                0.44162,                0.98713,                 0.7991,                 0.9041,                0.90026,                0.52228,                 1.5628,                0.64568,                 1.5673,              0.0005942,              0.0005942,              0.0005942
                     73,                0.81027,                0.45849,                0.97496,                0.80301,                0.90909,                 0.8914,                0.50531,                  1.583,                0.66345,                 1.5832,              0.0005744,              0.0005744,              0.0005744
                     74,                0.76535,                0.44073,                 0.9618,                0.81169,                0.88636,                0.87985,                0.50454,                 1.6142,                0.67792,                 1.5732,              0.0005546,              0.0005546,              0.0005546
                     75,                0.74482,                0.43004,                0.94793,                 0.8284,                0.87786,                0.90303,                0.49707,                 1.6189,                0.65202,                 1.5869,              0.0005348,              0.0005348,              0.0005348
                     76,                0.74117,                0.42403,                0.97246,                0.80635,                0.88636,                0.90593,                 0.5206,                  1.567,                0.63922,                 1.5144,               0.000515,               0.000515,               0.000515
                     77,                0.74919,                0.43034,                0.96562,                0.80626,                0.88636,                  0.906,                0.49207,                 1.6045,                0.66294,                 1.5528,              0.0004952,              0.0004952,              0.0004952
                     78,                0.73072,                0.40508,                0.94011,                0.85162,                0.84091,                0.87502,                0.49001,                 1.6591,                 0.6467,                 1.6114,              0.0004754,              0.0004754,              0.0004754
                     79,                 0.7684,                0.41803,                0.98402,                  0.849,                0.84091,                0.86402,                0.49697,                 1.6015,                0.67705,                 1.5656,              0.0004556,              0.0004556,              0.0004556
                     80,                0.74519,                0.40251,                0.95617,                0.80455,                0.88636,                0.89283,                0.51528,                 1.5948,                0.64459,                 1.6002,              0.0004358,              0.0004358,              0.0004358
                     81,                0.71262,                0.40331,                0.95871,                0.83325,                0.84091,                0.88344,                0.49504,                 1.6639,                0.69369,                 1.6567,               0.000416,               0.000416,               0.000416
                     82,                0.73206,                 0.3999,                0.95277,                0.83993,                0.83489,                0.88303,                 0.5133,                  1.632,                0.66303,                 1.6304,              0.0003962,              0.0003962,              0.0003962
